               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.071662,            0.052149,                   0,             0.38953,                0.36,             0.29673,             0.10282,            0.086275,            0.026097,                   0,           0.0025083,           0.0025083,            0.075308
                  39,            0.083785,            0.052305,                   0,             0.29218,                0.48,             0.31293,             0.11442,            0.069519,            0.026468,                   0,           0.0025617,           0.0025617,            0.074662
                  40,            0.068536,            0.059596,                   0,             0.59214,             0.31942,             0.34006,             0.10316,            0.075347,            0.025566,                   0,           0.0026142,           0.0026142,            0.074014
                  41,            0.067765,            0.047774,                   0,             0.28404,                 0.5,             0.27354,             0.05965,            0.072659,            0.025529,                   0,           0.0026659,           0.0026659,            0.073366
                  42,            0.074908,            0.046964,                   0,             0.55398,                 0.4,             0.38909,            0.091921,            0.074772,            0.024813,                   0,           0.0027167,           0.0027167,            0.072717
                  43,            0.066506,            0.046423,                   0,             0.34062,                0.44,             0.28817,            0.057398,            0.075947,             0.02459,                   0,           0.0027667,           0.0027667,            0.072067
                  44,            0.077026,            0.050697,                   0,             0.31079,                0.56,             0.32237,            0.072857,            0.081104,            0.023767,                   0,           0.0028157,           0.0028157,            0.071416
                  45,            0.070345,             0.03714,                   0,             0.31079,                0.56,             0.32237,            0.072857,            0.081104,            0.023767,                   0,           0.0028639,           0.0028639,            0.070764
                  46,            0.073357,            0.050811,                   0,             0.42303,                0.44,             0.33704,            0.081162,            0.082599,            0.023435,                   0,           0.0029112,           0.0029112,            0.070111
                  47,            0.068979,            0.039655,                   0,             0.43086,                0.44,             0.33251,            0.082118,            0.080439,            0.023234,                   0,           0.0029575,           0.0029575,            0.069457
                  48,            0.067717,            0.043879,                   0,             0.57765,                0.44,             0.42202,             0.11585,            0.070012,            0.023729,                   0,           0.0030029,           0.0030029,            0.068803
                  49,            0.065044,              0.0366,                   0,             0.50899,                0.56,             0.40076,             0.11436,            0.068757,            0.024272,                   0,           0.0030473,           0.0030473,            0.068147
                  50,            0.064094,            0.043989,                   0,             0.47744,                0.44,             0.34824,            0.072631,            0.068673,             0.02371,                   0,           0.0030908,           0.0030908,            0.067491
                  51,             0.06761,            0.045356,                   0,              0.4649,                0.54,             0.50441,             0.17609,            0.072204,              0.0235,                   0,           0.0031333,           0.0031333,            0.066833
                  52,             0.07006,            0.043669,                   0,              0.4649,                0.54,             0.50441,             0.17609,            0.072204,              0.0235,                   0,           0.0031748,           0.0031748,            0.066175
                  53,            0.070411,             0.04156,                   0,             0.49047,                0.54,             0.50283,             0.14326,            0.074882,            0.023198,                   0,           0.0032153,           0.0032153,            0.065515
                  54,             0.06745,            0.041834,                   0,             0.53335,                0.46,             0.46003,             0.11982,            0.067306,            0.023393,                   0,           0.0032547,           0.0032547,            0.064855
                  55,            0.065307,            0.048996,                   0,             0.65564,             0.41891,              0.4985,             0.12306,             0.07088,            0.022935,                   0,           0.0032932,           0.0032932,            0.064193
                  56,             0.06442,            0.044722,                   0,               0.557,                0.38,             0.42307,              0.1318,            0.066379,            0.022723,                   0,           0.0033306,           0.0033306,            0.063531
                  57,            0.068856,             0.04882,                   0,               0.557,                0.38,             0.42307,              0.1318,            0.066379,            0.022728,                   0,            0.003367,            0.003367,            0.062867
                  58,            0.064976,             0.04567,                   0,             0.67754,                0.38,             0.49095,              0.1494,            0.064741,            0.022599,                   0,           0.0034023,           0.0034023,            0.062202
                  59,            0.063323,            0.049641,                   0,             0.51103,                0.46,             0.42955,             0.10423,            0.069242,            0.022859,                   0,           0.0034366,           0.0034366,            0.061537
                  60,            0.065367,            0.037206,                   0,             0.45286,                 0.5,             0.41896,             0.13682,            0.063017,            0.022727,                   0,           0.0034698,           0.0034698,             0.06087
                  61,            0.069436,            0.042078,                   0,             0.45286,                 0.5,             0.41896,             0.13682,            0.063017,            0.022727,                   0,           0.0035019,           0.0035019,            0.060202
                  62,            0.062583,            0.038587,                   0,             0.64932,                0.52,             0.56958,             0.18389,            0.057516,            0.022512,                   0,           0.0035329,           0.0035329,            0.059533
                  63,            0.061618,            0.045171,                   0,             0.11881,                 0.4,             0.10132,            0.023791,            0.081974,            0.021439,                   0,           0.0035629,           0.0035629,            0.058863
                  64,            0.071835,             0.03718,                   0,             0.11881,                 0.4,             0.10132,            0.023791,            0.081974,             0.02144,                   0,           0.0035917,           0.0035917,            0.058192
                  65,            0.074031,            0.038326,                   0,             0.22039,                 0.3,             0.15701,            0.032644,            0.080244,            0.020893,                   0,           0.0036194,           0.0036194,            0.057519
                  66,            0.070137,            0.052415,                   0,             0.42994,                 0.5,             0.42935,             0.10947,            0.063512,            0.021998,                   0,            0.003646,            0.003646,            0.056846
                  67,            0.060253,            0.049318,                   0,             0.42994,                 0.5,             0.42935,             0.10947,            0.063512,            0.022004,                   0,           0.0036715,           0.0036715,            0.056172
                  68,            0.058532,            0.042998,                   0,              0.6136,             0.53991,             0.52719,             0.14035,            0.058476,            0.022207,                   0,           0.0036959,           0.0036959,            0.055496
                  69,            0.063225,              0.0391,                   0,             0.52532,                 0.4,             0.43428,            0.096501,            0.067077,            0.021625,                   0,           0.0037192,           0.0037192,            0.054819
                  70,            0.065156,            0.045103,                   0,             0.52532,                 0.4,             0.43428,            0.096501,            0.067077,            0.021625,                   0,           0.0037413,           0.0037413,            0.054141
                  71,            0.061952,            0.033793,                   0,             0.66394,                 0.4,             0.52709,             0.16891,            0.063269,            0.021753,                   0,           0.0037623,           0.0037623,            0.053462
                  72,            0.062785,            0.030531,                   0,             0.33332,                 0.4,             0.27522,            0.078277,            0.080305,            0.020672,                   0,           0.0037822,           0.0037822,            0.052782
                  73,            0.073632,            0.044477,                   0,             0.33332,                 0.4,             0.27522,            0.078277,            0.080305,            0.020667,                   0,           0.0038009,           0.0038009,            0.052101
                  74,            0.068788,            0.041362,                   0,              0.4858,                0.44,             0.39107,            0.086053,            0.062731,            0.021722,                   0,           0.0038185,           0.0038185,            0.051418
                  75,            0.063002,            0.048133,                   0,              0.4858,                0.44,             0.39107,            0.086053,            0.062731,            0.021722,                   0,           0.0038349,           0.0038349,            0.050735
                  76,            0.055416,            0.043459,                   0,             0.70878,                0.44,             0.53649,             0.15507,            0.054657,            0.022199,                   0,           0.0038502,           0.0038502,             0.05005
                  77,            0.052504,            0.040471,                   0,             0.70878,                0.44,             0.53649,             0.15507,            0.054657,            0.022195,                   0,           0.0038644,           0.0038644,            0.049364
                  78,            0.051265,            0.045362,                   0,             0.60767,                0.62,             0.60879,             0.20576,            0.053375,            0.022305,                   0,           0.0038774,           0.0038774,            0.048677
                  79,            0.053655,            0.048612,                   0,             0.44197,                0.46,             0.41706,             0.11791,            0.068125,            0.020834,                   0,           0.0038893,           0.0038893,            0.047989
                  80,            0.061227,             0.04658,                   0,             0.44197,                0.46,             0.41706,             0.11791,            0.068125,            0.020834,                   0,           0.0039001,           0.0039001,              0.0473
                  81,            0.062926,            0.040992,                   0,             0.62779,             0.53973,              0.5583,             0.20055,            0.056453,            0.021464,                   0,           0.0039097,           0.0039097,             0.04661
                  82,            0.058202,            0.038579,                   0,             0.62779,             0.53973,              0.5583,             0.20055,            0.056453,            0.021465,                   0,           0.0039182,           0.0039182,            0.045918
                  83,            0.056678,            0.036976,                   0,             0.45428,             0.49948,             0.43052,             0.11284,            0.064762,             0.02112,                   0,           0.0039255,           0.0039255,            0.045226
                  84,            0.061578,            0.049687,                   0,             0.45428,             0.49948,             0.43052,             0.11284,            0.064762,            0.021121,                   0,           0.0039317,           0.0039317,            0.044532
                  85,            0.052688,             0.04053,                   0,             0.57607,                0.42,             0.45288,             0.10714,            0.059824,            0.020903,                   0,           0.0039369,           0.0039369,            0.043837
                  86,             0.05704,            0.037712,                   0,             0.57607,                0.42,             0.45288,             0.10714,            0.059824,            0.020903,                   0,           0.0039408,           0.0039408,            0.043141
                  87,            0.048852,            0.036899,                   0,             0.68356,             0.51848,             0.62232,              0.1787,            0.055482,            0.021177,                   0,           0.0039437,           0.0039437,            0.042444
                  88,            0.052035,            0.040846,                   0,             0.68356,             0.51848,             0.62232,              0.1787,            0.055482,            0.021179,                   0,           0.0039455,           0.0039455,            0.041745
                  89,            0.048224,            0.041511,                   0,              0.7768,                0.56,             0.64655,              0.1748,            0.053215,            0.021111,                   0,           0.0039461,           0.0039461,            0.041046
                  90,            0.049534,            0.047909,                   0,              0.7768,                0.56,             0.64655,              0.1748,            0.053215,            0.021111,                   0,           0.0039457,           0.0039457,            0.040346
                  91,            0.050661,            0.040013,                   0,             0.72267,                0.58,             0.64838,             0.19495,            0.052115,            0.020992,                   0,           0.0039442,           0.0039442,            0.039644
                  92,            0.054009,             0.04086,                   0,             0.72267,                0.58,             0.64838,             0.19495,            0.052115,             0.02099,                   0,           0.0039416,           0.0039416,            0.038942
                  93,            0.049679,            0.035249,                   0,             0.76918,                 0.6,             0.69422,             0.25792,            0.052888,            0.021011,                   0,           0.0039379,           0.0039379,            0.038238
                  94,            0.054486,            0.045452,                   0,             0.76918,                 0.6,             0.69422,             0.25792,            0.052888,            0.021011,                   0,           0.0039332,           0.0039332,            0.037533
                  95,            0.053918,              0.0515,                   0,             0.60443,             0.51954,             0.52744,             0.15417,            0.057789,            0.020846,                   0,           0.0039274,           0.0039274,            0.036827
                  96,            0.056003,            0.040839,                   0,             0.60443,             0.51954,             0.52744,             0.15417,            0.057789,            0.020846,                   0,           0.0039206,           0.0039206,            0.036121
                  97,            0.056669,            0.036958,                   0,              0.5551,                 0.6,             0.53525,              0.1654,            0.060455,            0.020671,                   0,           0.0039127,           0.0039127,            0.035413
                  98,            0.058405,            0.047143,                   0,              0.5551,                 0.6,             0.53525,              0.1654,            0.060455,            0.020671,                   0,           0.0039038,           0.0039038,            0.034704
                  99,            0.058908,            0.032493,                   0,             0.42639,                0.56,             0.41875,             0.10044,            0.061113,            0.020912,                   0,           0.0038939,           0.0038939,            0.033994
                 100,            0.058415,            0.038761,                   0,             0.42639,                0.56,             0.41875,             0.10044,            0.061113,            0.020912,                   0,            0.003883,            0.003883,            0.033283
                 101,             0.06291,            0.039306,                   0,             0.43797,                0.44,             0.41776,             0.15168,            0.070138,            0.019772,                   0,           0.0038711,           0.0038711,            0.032571
                 102,            0.064316,            0.038445,                   0,             0.43797,                0.44,             0.41776,             0.15168,            0.070138,            0.019771,                   0,           0.0038582,           0.0038582,            0.031858
                 103,            0.065171,            0.037232,                   0,             0.43797,                0.44,             0.41776,             0.15168,            0.070138,            0.019771,                   0,           0.0038444,           0.0038444,            0.031144
                 104,            0.068206,            0.040046,                   0,             0.38328,                0.46,             0.38313,             0.12867,            0.076169,             0.01933,                   0,           0.0038296,           0.0038296,             0.03043
                 105,            0.071439,            0.035284,                   0,             0.38328,                0.46,             0.38313,             0.12867,            0.076169,             0.01933,                   0,           0.0038139,           0.0038139,            0.029714
                 106,            0.068478,            0.037818,                   0,             0.63172,                0.38,             0.45061,              0.1245,             0.07436,            0.019348,                   0,           0.0037972,           0.0037972,            0.028997
                 107,            0.064646,            0.036663,                   0,             0.63172,                0.38,             0.45061,              0.1245,             0.07436,             0.01935,                   0,           0.0037797,           0.0037797,             0.02828
                 108,             0.06678,            0.039635,                   0,             0.77733,             0.41896,             0.60165,             0.17464,            0.065069,            0.019717,                   0,           0.0037612,           0.0037612,            0.027561
                 109,            0.060355,            0.042112,                   0,             0.77733,             0.41896,             0.60165,             0.17464,            0.065069,            0.019717,                   0,           0.0037419,           0.0037419,            0.026842
                 110,            0.059814,              0.0315,                   0,             0.77733,             0.41896,             0.60165,             0.17464,            0.065069,            0.019716,                   0,           0.0037217,           0.0037217,            0.026122
                 111,            0.057671,            0.037877,                   0,             0.72003,                0.52,             0.61621,               0.163,            0.063256,            0.019783,                   0,           0.0037007,           0.0037007,            0.025401
                 112,            0.062265,            0.034569,                   0,             0.72003,                0.52,             0.61621,               0.163,            0.063256,            0.019783,                   0,           0.0036789,           0.0036789,            0.024679
                 113,            0.060018,            0.032851,                   0,             0.56401,                 0.5,             0.50827,             0.12486,             0.06278,            0.019954,                   0,           0.0036562,           0.0036562,            0.023956
                 114,            0.059218,            0.040368,                   0,             0.56401,                 0.5,             0.50827,             0.12486,             0.06278,            0.019954,                   0,           0.0036328,           0.0036328,            0.023233
                 115,            0.054859,            0.035149,                   0,             0.53034,             0.51945,             0.50033,             0.17908,            0.066157,            0.019278,                   0,           0.0036085,           0.0036085,            0.022509
                 116,            0.062436,            0.037655,                   0,             0.53034,             0.51945,             0.50033,             0.17908,            0.066157,            0.019278,                   0,           0.0035836,           0.0035836,            0.021784
                 117,            0.064425,            0.039951,                   0,             0.53034,             0.51945,             0.50033,             0.17908,            0.066157,            0.019278,                   0,           0.0035579,           0.0035579,            0.021058
                 118,            0.059808,            0.038707,                   0,             0.63137,             0.47958,              0.4894,             0.12101,            0.064308,            0.019476,                   0,           0.0035315,           0.0035315,            0.020331
                 119,            0.055195,            0.035062,                   0,             0.63137,             0.47958,              0.4894,             0.12101,            0.064308,            0.019476,                   0,           0.0035044,           0.0035044,            0.019604
                 120,            0.056483,            0.033015,                   0,             0.63137,             0.47958,              0.4894,             0.12101,            0.064308,            0.019476,                   0,           0.0034766,           0.0034766,            0.018877
                 121,            0.056571,            0.041263,                   0,              0.6943,             0.49968,             0.51977,             0.13558,            0.063501,            0.019628,                   0,           0.0034481,           0.0034481,            0.018148
                 122,            0.057021,            0.033248,                   0,              0.6943,             0.49968,             0.51977,             0.13558,            0.063501,            0.019628,                   0,           0.0034191,           0.0034191,            0.017419
                 123,            0.058461,            0.030041,                   0,             0.60209,                 0.7,             0.66634,             0.20263,            0.057776,            0.020364,                   0,           0.0033894,           0.0033894,            0.016689
                 124,            0.058658,            0.039503,                   0,             0.60209,                 0.7,             0.66634,             0.20263,            0.057776,            0.020364,                   0,           0.0033592,           0.0033592,            0.015959
                 125,            0.062204,            0.035622,                   0,             0.60209,                 0.7,             0.66634,             0.20263,            0.057776,            0.020364,                   0,           0.0033284,           0.0033284,            0.015228
                 126,             0.05768,            0.050244,                   0,             0.70355,                0.62,             0.62592,              0.2214,             0.05236,            0.020886,                   0,            0.003297,            0.003297,            0.014497
                 127,            0.050238,              0.0381,                   0,             0.70355,                0.62,             0.62592,              0.2214,             0.05236,            0.020886,                   0,           0.0032651,           0.0032651,            0.013765
                 128,            0.050267,            0.038036,                   0,             0.70355,                0.62,             0.62592,              0.2214,             0.05236,            0.020886,                   0,           0.0032328,           0.0032328,            0.013033
                 129,            0.049423,            0.034102,                   0,             0.70714,             0.57953,             0.62324,             0.15105,            0.057831,            0.020144,                   0,           0.0031999,           0.0031999,              0.0123
                 130,            0.055267,            0.046796,                   0,             0.70714,             0.57953,             0.62324,             0.15105,            0.057831,            0.020144,                   0,           0.0031667,           0.0031667,            0.011567
                 131,            0.053634,            0.034446,                   0,             0.70714,             0.57953,             0.62324,             0.15105,            0.057831,            0.020144,                   0,            0.003133,            0.003133,            0.010833
                 132,             0.05351,            0.033991,                   0,             0.66642,                0.48,             0.55144,             0.13841,            0.061718,            0.019817,                   0,           0.0030989,           0.0030989,            0.010099
                 133,            0.057548,            0.044781,                   0,             0.66642,                0.48,             0.55144,             0.13841,            0.061718,            0.019817,                   0,           0.0030644,           0.0030644,           0.0093644
                 134,            0.055728,            0.039181,                   0,             0.54802,                0.56,             0.59002,             0.21405,            0.057606,            0.020758,                   0,           0.0030296,           0.0030296,           0.0086296
                 135,            0.059546,            0.032943,                   0,             0.54802,                0.56,             0.59002,             0.21405,            0.057606,            0.020758,                   0,           0.0029945,           0.0029945,           0.0078945
                 136,            0.060019,            0.046112,                   0,             0.54802,                0.56,             0.59002,             0.21405,            0.057606,            0.020758,                   0,           0.0029591,           0.0029591,           0.0071591
                 137,            0.058148,            0.044105,                   0,             0.55324,                 0.3,             0.37175,            0.073084,            0.067079,            0.020219,                   0,           0.0029234,           0.0029234,           0.0064234
                 138,            0.059909,            0.033314,                   0,             0.55324,                 0.3,             0.37175,            0.073084,            0.067079,            0.020219,                   0,           0.0028874,           0.0028874,           0.0056874
                 139,            0.062441,            0.036368,                   0,             0.55324,                 0.3,             0.37175,            0.073084,            0.067079,            0.020219,                   0,           0.0028513,           0.0028513,           0.0049513
                 140,            0.060548,            0.040066,                   0,             0.71066,             0.63863,             0.65929,             0.22135,            0.053068,            0.020593,                   0,            0.002815,            0.002815,            0.004215
                 141,              0.0517,            0.040392,                   0,             0.71066,             0.63863,             0.65929,             0.22135,            0.053068,            0.020591,                   0,           0.0027785,           0.0027785,           0.0034785
                 142,            0.052444,            0.033555,                   0,             0.71066,             0.63863,             0.65929,             0.22135,            0.053068,            0.020591,                   0,           0.0027419,           0.0027419,           0.0027419
                 143,            0.051217,            0.037289,                   0,             0.58835,                0.52,             0.57205,             0.15255,            0.058813,            0.020691,                   0,           0.0027419,           0.0027419,           0.0027419
                 144,            0.056114,            0.029684,                   0,             0.58835,                0.52,             0.57205,             0.15255,            0.058813,            0.020693,                   0,           0.0026864,           0.0026864,           0.0026864
                 145,            0.055422,            0.044488,                   0,             0.58835,                0.52,             0.57205,             0.15255,            0.058813,            0.020693,                   0,           0.0026316,           0.0026316,           0.0026316
                 146,            0.055706,            0.036011,                   0,             0.79995,                0.48,             0.62257,             0.20118,            0.053985,            0.020015,                   0,           0.0025775,           0.0025775,           0.0025775
                 147,            0.052462,            0.028451,                   0,             0.79995,                0.48,             0.62257,             0.20118,            0.053985,            0.020015,                   0,           0.0025241,           0.0025241,           0.0025241
                 148,            0.050244,            0.035205,                   0,             0.79995,                0.48,             0.62257,             0.20118,            0.053985,            0.020012,                   0,           0.0024714,           0.0024714,           0.0024714
                 149,              0.0519,            0.039402,                   0,             0.45759,                0.54,             0.44777,             0.10311,            0.056857,            0.020432,                   0,           0.0024195,           0.0024195,           0.0024195
                 150,              0.0458,            0.038322,                   0,             0.45759,                0.54,             0.44777,             0.10311,            0.056857,             0.02043,                   0,           0.0023684,           0.0023684,           0.0023684
                 151,            0.048864,            0.048978,                   0,             0.45759,                0.54,             0.44777,             0.10311,            0.056857,            0.020432,                   0,            0.002318,            0.002318,            0.002318
                 152,            0.049369,            0.043158,                   0,              0.5261,             0.59949,             0.53983,             0.15217,            0.050401,            0.020347,                   0,           0.0022684,           0.0022684,           0.0022684
